customer_id,email,first_name,last_name,birthdate,city,city_state,zip_prefix
CUST000001,,Laura,Kovačević,1967-09-09,Salvador,MG,34507
CUST000002,,Filip,Matić,1949-04-19,Curitiba,PR,69596
CUST000003,,Ivan,Popović,1963-02-01,Brasilia,MG,80509
CUST000004,,Matej,Vuković,1952-12-23,Porto Alegre,GO,18436
CUST000005,,Marko,Šarić,1950-01-30,Salvador,BA,20086
CUST000006,,Dora,Lončar,1960-02-17,Goiania,SP,93276
CUST000007,,Ivan,Vuković,1980-01-05,Belo Horizonte,ES,29851
CUST000008,,Laura,Horvat,1977-04-19,Salvador,ES,49732
CUST000009,,Nika,Horvat,1962-11-15,Brasilia,PR,24842
CUST000010,,Nikola,Radić,1975-09-01,Porto Alegre,ES,11745
CUST000011,,Tomislav,Vidović,1975-05-06,Curitiba,GO,22697
CUST000012,,Leon,Radić,1952-04-26,Brasilia,SC,13879
CUST000013,,Matej,Radić,1978-02-05,Brasilia,PR,95697
CUST000014,,Sara,Marić,1971-09-24,Belo Horizonte,MG,28499
CUST000015,,David,Radić,1952-03-25,Florianopolis,DF,98177
CUST000016,,David,Blažević,1982-05-22,Porto Alegre,RS,45035
CUST000017,,Marko,Marković,1996-09-16,Rio de Janeiro,GO,28651
CUST000018,,Leon,Božić,1963-10-26,Brasilia,MG,85224
CUST000019,,Iva,Kovačević,1948-07-01,Florianopolis,SC,86524
CUST000020,,Karlo,Šimić,1995-03-20,Rio de Janeiro,DF,99006
CUST000021,cust000021@example.com,Nika,Šarić,2004-07-01,Porto Alegre,ES,47249
CUST000022,cust000022@example.com,Marko,Vuković,1991-01-26,Sao Paulo,SC,33849
CUST000023,cust000023@example.com,Tomislav,Šarić,1963-10-10,Goiania,PR,83309
CUST000024,cust000024@example.com,Lucija,Radić,2003-07-04,Florianopolis,RJ,39076
CUST000025,cust000025@example.com,Matej,Šimić,1984-02-01,Campinas,RJ,80123
CUST000026,cust000026@example.com,Laura,Rajić,1971-08-18,Sao Paulo,ES,43124
CUST000027,cust000027@example.com,Luka,Šimić,1987-09-10,Goiania,RJ,25787
CUST000028,cust000028@example.com,Marija,Popović,1994-02-12,Belo Horizonte,RJ,63462
CUST000029,cust000029@example.com,Laura,Lončar,1997-11-06,Salvador,MG,95984
CUST000030,cust000030@example.com,Mia,Nikolić,1991-09-13,Curitiba,MG,81035
CUST000031,cust000031@example.com,Ivana,Božić,2004-08-06,Campinas,RS,13841
CUST000032,cust000032@example.com,Matej,Popović,1957-04-03,Belo Horizonte,BA,54890
CUST000033,cust000033@example.com,Mia,Popović,1949-02-20,Porto Alegre,ES,35402
CUST000034,cust000034@example.com,Lana,Nikolić,1999-05-13,Belo Horizonte,RJ,98591
CUST000035,cust000035@example.com,Mario,Lončar,1984-12-03,Salvador,RS,76201
CUST000036,cust000036@example.com,Dora,Blažević,1951-01-20,Porto Alegre,ES,33237
CUST000037,cust000037@example.com,Karlo,Novak,1969-11-08,Campinas,RJ,52988
CUST000038,cust000038@example.com,Dario,Popović,1962-11-15,Salvador,GO,86310
CUST000039,cust000039@example.com,Marija,Vidović,1998-05-08,Rio de Janeiro,SP,10553
CUST000040,cust000040@example.com,Nika,Pavić,1984-01-22,Curitiba,GO,23860
CUST000041,cust000041@example.com,Lucija,Pavić,1996-03-14,Campinas,DF,17045
CUST000042,cust000042@example.com,Elena,Radić,1997-02-06,Rio de Janeiro,ES,84916
CUST000043,cust000043@example.com,Ivana,Perić,1998-08-19,Goiania,BA,66435
CUST000044,cust000044@example.com,Mia,Popović,1990-04-20,Campinas,DF,42261
CUST000045,cust000045@example.com,Petar,Vidović,1964-04-20,Goiania,RS,88879
