seller_id,seller_email,first_name,last_name,birthdate,seller_city,seller_state,seller_zip_prefix
SELL00001,sell00001@seller.example.com,Mateus,Ramos,1988-06-26,Florianopolis,BA,26699
SELL00002,sell00002@seller.example.com,Pedro,Pereira,1956-04-06,Belo Horizonte,DF,42293
SELL00003,sell00003@seller.example.com,Daniel,Castro,1996-08-06,Goiania,ES,97983
SELL00004,sell00004@seller.example.com,Rodrigo,Castro,1965-07-22,Porto Alegre,GO,32425
SELL00005,sell00005@seller.example.com,Eduardo,Almeida,1987-09-21,Porto Alegre,DF,94181
SELL00006,sell00006@seller.example.com,Felipe,Correia,1968-12-27,Curitiba,MG,92764
SELL00007,sell00007@seller.example.com,Bruno,Costa,1979-02-04,Goiania,BA,44282
SELL00008,sell00008@seller.example.com,Bianca,Teixeira,1961-01-20,Curitiba,BA,97043
SELL00009,sell00009@seller.example.com,Carlos,Teixeira,2000-05-10,Brasilia,BA,60882
SELL00010,sell00010@seller.example.com,Natália,Costa,2000-06-24,Florianopolis,DF,78721
SELL00011,sell00011@seller.example.com,Amanda,Dias,1956-04-11,Rio de Janeiro,RS,27622
SELL00012,sell00012@seller.example.com,Lucas,Gomes,1960-09-10,Rio de Janeiro,SC,15455
SELL00013,sell00013@seller.example.com,Pedro,Silva,1973-11-27,Rio de Janeiro,RJ,45692
SELL00014,sell00014@seller.example.com,Carlos,Costa,1955-09-13,Florianopolis,BA,16796
SELL00015,sell00015@seller.example.com,Gustavo,Ramos,1997-12-01,Sao Paulo,ES,68534
SELL00016,sell00016@seller.example.com,Eduardo,Castro,1948-04-21,Belo Horizonte,PR,32423
SELL00017,sell00017@seller.example.com,Gabriela,Araújo,1973-12-27,Sao Paulo,RS,37007
SELL00018,sell00018@seller.example.com,Vanessa,Teixeira,1997-08-28,Curitiba,RJ,58121
SELL00019,sell00019@seller.example.com,Pedro,Castro,1979-09-03,Sao Paulo,BA,60261
SELL00020,sell00020@seller.example.com,Renata,Gomes,1981-08-02,Campinas,RJ,89445
SELL00021,sell00021@seller.example.com,Thiago,Teixeira,1963-10-17,Florianopolis,RJ,37692
SELL00022,sell00022@seller.example.com,Bianca,Freitas,1952-10-26,Brasilia,ES,57049
SELL00023,sell00023@seller.example.com,Larissa,Correia,1999-02-13,Rio de Janeiro,RJ,92542
SELL00024,sell00024@seller.example.com,Eduardo,Ramos,1967-10-15,Florianopolis,GO,28721
SELL00025,sell00025@seller.example.com,Carolina,Teixeira,1955-02-22,Curitiba,MG,85658
SELL00026,sell00026@seller.example.com,Natália,Almeida,1973-01-21,Salvador,MG,44026
